NAME                     INSTALLED                        FIXED IN                                             TYPE            VULNERABILITY        SEVERITY    EPSS          RISK
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2022-3341        Medium      0.8% (53rd)   0.4
openssl                  3.3.2                            *3.3.6, 3.4.4, 3.5.5, 3.6.1                          UnknownPackage  CVE-2025-15468       Medium      0.7% (51st)   0.4
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-33845       Medium      0.8% (53rd)   0.4
python                   3.11.10                          3.10.20, *3.11.15, 3.12.13, 3.13.11, ...             UnknownPackage  CVE-2025-12084       Medium      0.7% (49th)   0.4
libzvbi-common           0.2.35-19                        (won't fix)                                          deb             CVE-2025-2174        Medium      0.8% (51st)   0.4
libzvbi0                 0.2.35-19                        (won't fix)                                          deb             CVE-2025-2174        Medium      0.8% (51st)   0.4
libsdl2-2.0-0            2.0.20+dfsg-2ubuntu1.22.04.1                                                          deb             CVE-2022-4743        Low         1.3% (66th)   0.4
brotli                   1.1.0                            1.2.0                                                python          GHSA-2qfp-q593-8484  High        0.5% (40th)   0.4
python                   3.11.10                          3.9.23, 3.10.18, *3.11.13, 3.12.11, ...              UnknownPackage  CVE-2025-4435        High        0.5% (39th)   0.4
libdav1d5                0.9.2-1                                                                               deb             CVE-2023-32570       Medium      0.7% (50th)   0.4
libpng-dev               1.6.37-3build5                   1.6.37-3ubuntu0.5                                    deb             CVE-2026-33636       Medium      0.7% (50th)   0.4
libpng16-16              1.6.37-3build5                   1.6.37-3ubuntu0.5                                    deb             CVE-2026-33636       Medium      0.7% (50th)   0.4
transformers             4.57.3                           5.3.0                                                python          GHSA-29pf-2h5f-8g72  High        0.5% (38th)   0.4
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-5260        Medium      0.7% (50th)   0.4
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-42015       Medium      0.7% (50th)   0.4
libsystemd0              249.11-0ubuntu3.12               249.11-0ubuntu3.16                                   deb             CVE-2025-4598        Medium      0.7% (50th)   0.4
libudev1                 249.11-0ubuntu3.12               249.11-0ubuntu3.16                                   deb             CVE-2025-4598        Medium      0.7% (50th)   0.4
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.7                                     deb             CVE-2025-32990       Medium      0.7% (50th)   0.4
libgnutls30              3.7.3-4ubuntu1.5                 3.7.3-4ubuntu1.9                                     deb             CVE-2026-3832        Medium      0.7% (50th)   0.4
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35368       Medium      0.7% (49th)   0.4
python                   3.11.10                          *3.13.14, 3.14.6, 3.15.0b2                           UnknownPackage  CVE-2026-7774        Medium      0.6% (45th)   0.4
libspeex1                1.2~rc1.2-1.1ubuntu3             (won't fix)                                          deb             CVE-2020-23904       Medium      0.7% (49th)   0.3
python                   3.11.10                                                                               UnknownPackage  CVE-2026-11972       High        0.4% (35th)   0.3
ffmpeg                   8.0.1                                                                                 UnknownPackage  CVE-2026-30999       High        0.5% (36th)   0.3
libgssapi-krb5-2         1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.6                                    deb             CVE-2024-26461       Low         1.1% (62nd)   0.3
libk5crypto3             1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.6                                    deb             CVE-2024-26461       Low         1.1% (62nd)   0.3
libkrb5-3                1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.6                                    deb             CVE-2024-26461       Low         1.1% (62nd)   0.3
libkrb5support0          1.19.2-2ubuntu0.4                1.19.2-2ubuntu0.6                                    deb             CVE-2024-26461       Low         1.1% (62nd)   0.3
libpcre2-8-0             10.39-3ubuntu0.1                                                                      deb             CVE-2022-41409       Low         1.1% (62nd)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libavfilter7             7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libavformat58            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libavutil56              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libpostproc55            7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libswresample3           7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libswscale5              7:4.4.2-0ubuntu0.22.04.1         (won't fix)                                          deb             CVE-2024-35367       Medium      0.7% (48th)   0.3
libgcrypt20              1.9.4-3ubuntu3                                                                        deb             CVE-2024-2236        Low         1.1% (62nd)   0.3
ffmpeg                   7:4.4.2-0ubuntu0.22.04.1                                                              deb             CVE-2024-35365       Medium      0.7% (48th)   0.3
libavcodec58             7:4.4.2-0ubuntu0.22.04.1                                                              deb             CVE-2024-35365       Medium      0.7% (48th)   0.3
libavdevice58            7:4.4.2-0ubuntu0.22.04.1                                                              deb             CVE-2024-35365       Medium      0.7% (48th)   0.3
